id_plot_year,id_plot,site,year,herbicide,seeding_time,seeded_pool,richness_1qm,richness_25qm,treatment_id,treatment_description,richness_type,id_tin,tinfilter_g,soil_soaked_g,soil_dried_g,water_cap
Lux_10_2015,Lux_10,Lux Arbor,2015,1,spring,6,0,0,8,"Spring seeding, with herbicide, 2 forb species/group",seeded_richness,59,22.57,198.73,141.82,0.4772327044025157
Lux_10_2015,Lux_10,Lux Arbor,2015,1,spring,6,7,3,8,"Spring seeding, with herbicide, 2 forb species/group",species_richness,59,22.57,198.73,141.82,0.4772327044025157
Lux_10_2016,Lux_10,Lux Arbor,2016,1,spring,6,0,0,8,"Spring seeding, with herbicide, 2 forb species/group",seeded_richness,59,22.57,198.73,141.82,0.4772327044025157
Lux_10_2016,Lux_10,Lux Arbor,2016,1,spring,6,10,10,8,"Spring seeding, with herbicide, 2 forb species/group",species_richness,59,22.57,198.73,141.82,0.4772327044025157
Lux_10_2017,Lux_10,Lux Arbor,2017,1,spring,6,0,0,8,"Spring seeding, with herbicide, 2 forb species/group",seeded_richness,59,22.57,198.73,141.82,0.4772327044025157
Lux_10_2017,Lux_10,Lux Arbor,2017,1,spring,6,8,10,8,"Spring seeding, with herbicide, 2 forb species/group",species_richness,59,22.57,198.73,141.82,0.4772327044025157
Lux_10_2018,Lux_10,Lux Arbor,2018,1,spring,6,0,0,8,"Spring seeding, with herbicide, 2 forb species/group",seeded_richness,59,22.57,198.73,141.82,0.4772327044025157
Lux_10_2018,Lux_10,Lux Arbor,2018,1,spring,6,11,11,8,"Spring seeding, with herbicide, 2 forb species/group",species_richness,59,22.57,198.73,141.82,0.4772327044025157
Lux_10_2019,Lux_10,Lux Arbor,2019,1,spring,6,0,1,8,"Spring seeding, with herbicide, 2 forb species/group",seeded_richness,59,22.57,198.73,141.82,0.4772327044025157
Lux_10_2019,Lux_10,Lux Arbor,2019,1,spring,6,14,7,8,"Spring seeding, with herbicide, 2 forb species/group",species_richness,59,22.57,198.73,141.82,0.4772327044025157
Lux_11_2015,Lux_11,Lux Arbor,2015,1,spring,6,0,2,8,"Spring seeding, with herbicide, 2 forb species/group",seeded_richness,47,23.08,208.4,148.53,0.47724192905540047
Lux_11_2015,Lux_11,Lux Arbor,2015,1,spring,6,5,11,8,"Spring seeding, with herbicide, 2 forb species/group",species_richness,47,23.08,208.4,148.53,0.47724192905540047
Lux_11_2016,Lux_11,Lux Arbor,2016,1,spring,6,0,0,8,"Spring seeding, with herbicide, 2 forb species/group",seeded_richness,47,23.08,208.4,148.53,0.47724192905540047
Lux_11_2016,Lux_11,Lux Arbor,2016,1,spring,6,11,8,8,"Spring seeding, with herbicide, 2 forb species/group",species_richness,47,23.08,208.4,148.53,0.47724192905540047
Lux_11_2017,Lux_11,Lux Arbor,2017,1,spring,6,0,0,8,"Spring seeding, with herbicide, 2 forb species/group",seeded_richness,47,23.08,208.4,148.53,0.47724192905540047
Lux_11_2017,Lux_11,Lux Arbor,2017,1,spring,6,6,11,8,"Spring seeding, with herbicide, 2 forb species/group",species_richness,47,23.08,208.4,148.53,0.47724192905540047
Lux_11_2018,Lux_11,Lux Arbor,2018,1,spring,6,0,0,8,"Spring seeding, with herbicide, 2 forb species/group",seeded_richness,47,23.08,208.4,148.53,0.47724192905540047
Lux_11_2018,Lux_11,Lux Arbor,2018,1,spring,6,7,9,8,"Spring seeding, with herbicide, 2 forb species/group",species_richness,47,23.08,208.4,148.53,0.47724192905540047
Lux_11_2019,Lux_11,Lux Arbor,2019,1,spring,6,0,0,8,"Spring seeding, with herbicide, 2 forb species/group",seeded_richness,47,23.08,208.4,148.53,0.47724192905540047
