id_plot_year,id_plot,plot_size,date_surveyed,accepted_name,abundance
Lux_1_2014,Lux_1,seeded,2014-09-01,Asclepias syriaca,0.27
Lux_1_2014,Lux_1,seeded,2014-09-01,Asclepias tuberosa,0.26
Lux_1_2014,Lux_1,seeded,2014-09-01,Baptisia alba var. macrophylla,0.26
Lux_1_2014,Lux_1,seeded,2014-09-01,Chamaecrista fasciculata,0.27
Lux_1_2014,Lux_1,seeded,2014-09-01,Cistus lasianthus subsp. alyssoides,0.27
Lux_1_2014,Lux_1,seeded,2014-09-01,Coreopsis lanceolata,0.27
Lux_1_2014,Lux_1,seeded,2014-09-01,Dalea purpurea,0.28
Lux_1_2014,Lux_1,seeded,2014-09-01,Desmodium illinoense,0.27
Lux_1_2014,Lux_1,seeded,2014-09-01,Drymocallis arguta,0.28
Lux_1_2014,Lux_1,seeded,2014-09-01,Echinacea purpurea,0.27
Lux_1_2014,Lux_1,seeded,2014-09-01,Eryngium yuccifolium,0.39
Lux_1_2014,Lux_1,seeded,2014-09-01,Lespedeza capitata,0.27
Lux_1_2014,Lux_1,seeded,2014-09-01,Lespedeza virginica,0.28
Lux_1_2014,Lux_1,seeded,2014-09-01,Liatris cylindracea,0.42
Lux_1_2014,Lux_1,seeded,2014-09-01,Lupinus perennis,0.26
Lux_1_2014,Lux_1,seeded,2014-09-01,Monarda fistulosa,0.27
Lux_1_2014,Lux_1,seeded,2014-09-01,Monarda punctata,0.27
Lux_1_2014,Lux_1,seeded,2014-09-01,Penstemon digitalis,0.27
Lux_1_2014,Lux_1,seeded,2014-09-01,Penstemon hirsutus,0.36
Lux_1_2014,Lux_1,seeded,2014-09-01,Ratibida pinnata,0.26
Lux_1_2014,Lux_1,seeded,2014-09-01,Rudbeckia hirta,0.3
Lux_1_2014,Lux_1,seeded,2014-09-01,Silphium terebinthinaceum,0.28
Lux_1_2014,Lux_1,seeded,2014-09-01,Solidago juncea,0.28
Lux_1_2014,Lux_1,seeded,2014-09-01,Solidago nemoralis,0.34
Lux_1_2014,Lux_1,seeded,2014-09-01,Solidago rigida,0.35
Lux_1_2014,Lux_1,seeded,2014-09-01,Solidago speciosa,0.34
Lux_1_2014,Lux_1,seeded,2014-09-01,Symphyotrichum ericoides,0.3
Lux_1_2014,Lux_1,seeded,2014-09-01,Symphyotrichum laeve,0.29
Lux_1_2014,Lux_1,seeded,2014-09-01,Symphyotrichum oolentangiense,0.48
Lux_1_2014,Lux_1,seeded,2014-09-01,Symphyotrichum undulatum,0.32
Lux_1_2014,Lux_1,seeded,2014-09-01,Tradescantia ohiensis,0.28
Lux_1_2014,Lux_1,seeded,2014-09-01,Verbena stricta,0.27
Lux_1_2014,Lux_1,seeded,2014-09-01,Zizia aptera,0.28
Lux_1_2015,Lux_1,1,2015-09-16,Achillea millefolium,5
Lux_1_2015,Lux_1,1,2015-09-16,Centaurea stoebe,10
Lux_1_2015,Lux_1,1,2015-09-16,Digitaria,16
Lux_1_2015,Lux_1,1,2015-09-16,Oxalis stricta,2
Lux_1_2015,Lux_1,1,2015-09-16,Panicum capillare,3
Lux_1_2015,Lux_1,1,2015-09-16,Plantago lanceolata,8
Lux_1_2015,Lux_1,1,2015-09-16,Rumex acetosa,1
Lux_1_2015,Lux_1,1,2015-09-16,Trifolium repens,7
Lux_1_2015,Lux_1,25,2015-09-16,Desmodium illinoense,NA
Lux_1_2015,Lux_1,25,2015-09-16,Verbascum thapsus,NA
Lux_1_2016,Lux_1,1,2016-08-30,Achillea millefolium,15
Lux_1_2016,Lux_1,1,2016-08-30,Centaurea stoebe,18
Lux_1_2016,Lux_1,1,2016-08-30,Digitaria,10
Lux_1_2016,Lux_1,1,2016-08-30,Oxalis stricta,1
Lux_1_2016,Lux_1,1,2016-08-30,Panicum capillare,2
Lux_1_2016,Lux_1,1,2016-08-30,Plantago lanceolata,18
Lux_1_2016,Lux_1,1,2016-08-30,Poa pratensis,0.2
Lux_1_2016,Lux_1,1,2016-08-30,Potentilla anserina,0.5
Lux_1_2016,Lux_1,1,2016-08-30,Ratibida pinnata,0.3
Lux_1_2016,Lux_1,1,2016-08-30,Trifolium,30
Lux_1_2016,Lux_1,25,2016-08-30,Bouteloua curtipendula,NA
Lux_1_2016,Lux_1,25,2016-08-30,Erigeron,NA
Lux_1_2016,Lux_1,25,2016-08-30,Euthamia graminifolia,NA
Lux_1_2016,Lux_1,25,2016-08-30,Monarda punctata,NA
