accepted_name,family,seeded,pool_size,height,seedmass,sla,lifeform,taxonomic_status,accepted_name_rank,source,accepted_name_url
Acalypha virginica,Euphorbiaceae,NA,NA,0.91,6.52e-4,NA,forb,Accepted,species,wcvp,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:1586-2
Achillea millefolium,Asteraceae,NA,NA,0.65375,1.79e-4,189.35,NA,Accepted,species,wcvp,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2294-2
Agastache foeniculum,Lamiaceae,NA,NA,NA,2.95e-4,NA,NA,Accepted,species,wcvp,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:6304-2
Agastache nepetoides,Lamiaceae,NA,NA,NA,3.31e-4,NA,NA,Accepted,species,wcvp,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:6315-2
Agrimonia parviflora,Rosaceae,NA,NA,1.8,0.0043725,NA,NA,Accepted,species,wcvp,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:7321-2
Agrostis gigantea,Poaceae,NA,NA,0.828333333,8.32e-5,227.84,NA,Accepted,species,wcvp,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:385783-1
Agrostis hyemalis,Poaceae,NA,NA,1.1,5.84e-5,NA,graminoid,Accepted,species,wcvp,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:385827-1
Alliaria petiolata,Brassicaceae,NA,NA,0.583333333,0.002601208,412,NA,Accepted,species,wcvp,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:1176324-2
Allium cernuum,Amaryllidaceae,NA,NA,NA,0.00385,NA,forb,Accepted,species,wcvp,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:527801-1
Allium vineale,Amaryllidaceae,NA,NA,0.375,0.007386,187,NA,Accepted,species,wcvp,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:529111-1
Ambrosia artemisiifolia,Asteraceae,NA,NA,0.8725,0.00399,231.3,NA,Accepted,species,wcvp,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:176058-1
Ambrosia psilostachya,Asteraceae,NA,NA,0.45,0.0066035,193.4,forb,Accepted,species,wcvp,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:30153070-2
Amorpha canescens,Fabaceae,NA,NA,1.2,0.002181743,NA,NA,Accepted,species,wcvp,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:60431313-2
Andropogon gerardii,Poaceae,1,6,1.8,0.002534,122.54114704599999,graminoid,Accepted,species,wfo,https://www.worldfloraonline.org/taxon/wfo-0000846629
Anemone cylindrica,Ranunculaceae,NA,NA,NA,0.001312,NA,forb,Accepted,species,wcvp,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:708323-1
Anemone virginiana,Ranunculaceae,NA,NA,NA,0.001135,NA,forb,Accepted,species,wcvp,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:708711-1
Apocynum cannabinum,Apocynaceae,NA,NA,1,9.7e-4,163.07893911000002,forb,Accepted,species,wcvp,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:16527-2
Arctium minus,Asteraceae,NA,NA,0.975,0.010592143,240.67,NA,Accepted,species,wcvp,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:178406-1
Arnoglossum atriplicifolium,Asteraceae,NA,NA,1.2305,0.0025455,123.0722757325,forb,Accepted,species,wcvp,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:20118-2
Artemisia campestris,Asteraceae,NA,NA,0.45,1.17e-4,168.5,forb,Accepted,species,wcvp,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:309140-2
Asclepias syriaca,Apocynaceae,1,18,1.22725,0.0062266,158.28,forb,Accepted,species,wcvp,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:319076-2
Asclepias tuberosa,Apocynaceae,1,18,0.61,0.006620625,184.63891973,forb,Accepted,species,wcvp,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:94704-1
Asclepias verticillata,Apocynaceae,NA,NA,NA,0.00219775,NA,forb,Accepted,species,wcvp,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:94722-1
Astragalus canadensis,Fabaceae,NA,NA,0.15,0.001749667,NA,forb,Accepted,species,wcvp,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:24595-2
Baptisia alba,Fabaceae,1,33,0.9405,0.01626,268.19354838709677,forb,Accepted,species,wcvp,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:30218702-2
Barbarea vulgaris,Brassicaceae,NA,NA,0.475,0.00039475000000000003,266.5,NA,Accepted,species,wcvp,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:29455-2
Berteroa incana,Brassicaceae,NA,NA,0.3625,5.14e-4,177.43,forb,Accepted,species,wcvp,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:278924-1
Bouteloua curtipendula,Poaceae,1,6,0.91,0.0020735,112.48656035850001,NA,Accepted,species,wcvp,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:1198286-2
Brickellia eupatorioides,Asteraceae,NA,NA,NA,9.4e-4,NA,NA,Accepted,species,wcvp,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:36409-2
Bromus inermis,Poaceae,NA,NA,0.6175,0.003040125,219.32,NA,Accepted,species,wcvp,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:393784-1
Bromus kalmii,Poaceae,NA,NA,0.91,0.002497222,NA,graminoid,Accepted,species,wcvp,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:37071-2
Calamagrostis canadensis,Poaceae,NA,NA,1.5,1.07e-4,NA,graminoid,Accepted,species,wcvp,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:1121202-2
Carex annectens,Cyperaceae,NA,NA,NA,4.3e-4,NA,graminoid,Accepted,species,wcvp,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:45733-2
Carex bicknellii,Cyperaceae,NA,NA,1,0.00131,NA,graminoid,Accepted,species,wcvp,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:45852-2
Carex brevior,Cyperaceae,NA,NA,NA,8.9e-4,NA,graminoid,Accepted,species,wcvp,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:45890-2
Carex crinita,Cyperaceae,NA,NA,1.6,6.75e-4,NA,graminoid,Accepted,species,wcvp,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:30070681-2
Carex granularis,Cyperaceae,NA,NA,0.76,4.92e-4,NA,graminoid,Accepted,species,wcvp,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:20008088-1
Carex normalis,Cyperaceae,NA,NA,1.5,7.3e-4,NA,graminoid,Accepted,species,wcvp,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:46735-2
Carex pellita,Cyperaceae,NA,NA,NA,0.0018,NA,graminoid,Accepted,species,wcvp,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:320271-2
Ceanothus americanus,Rhamnaceae,NA,NA,0.91,0.003771167,NA,NA,Accepted,species,wcvp,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:319138-2
Celastrus orbiculatus,Celastraceae,NA,NA,9.1,0.008983,NA,shrub,Accepted,species,wcvp,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:927512-1
Centaurea stoebe,Asteraceae,NA,NA,0.6125,0.0018025,227.23,forb,Accepted,species,wcvp,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:191689-1
Cerastium fontanum,Caryophyllaceae,NA,NA,0.215,1.31e-4,322.535,forb,Accepted,species,wcvp,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:152255-1
Cerastium pumilum,Caryophyllaceae,NA,NA,0.055,4.87e-5,301.3,forb,Accepted,species,wcvp,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:152552-1
Chamaecrista fasciculata,Fabaceae,1,18,0.73,0.007681111,297.17426919685437,forb,Accepted,species,wcvp,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:54500-2
Chenopodium album,Amaranthaceae,NA,NA,0.7666,0.013975483,222.14,NA,Accepted,species,wcvp,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:55993-2
Cichorium intybus,Asteraceae,NA,NA,0.68375,0.003666667,264.3,NA,Accepted,species,wcvp,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:194533-1
Cirsium arvense,Asteraceae,NA,NA,0.720666667,0.001500643,154.02,NA,Accepted,species,wcvp,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:195034-1
Coreopsis lanceolata,Asteraceae,1,6,0.555,0.001555467,165.20813763500001,NA,Accepted,species,wcvp,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:319152-2
Coreopsis palmata,Asteraceae,NA,NA,NA,0.001988,NA,forb,Accepted,species,wcvp,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:65888-2
Coreopsis tinctoria,Asteraceae,NA,NA,0.74,2.17e-4,NA,NA,Accepted,species,wcvp,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:198219-1
Coreopsis tripteris,Asteraceae,NA,NA,NA,0.00256,85.33220979055555,forb,Accepted,species,wcvp,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:65938-2
Cyperus strigosus,Cyperaceae,NA,NA,1,3.26e-4,NA,graminoid,Accepted,species,wcvp,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:306028-1
Dactylis glomerata,Poaceae,NA,NA,0.704666667,9.19e-4,247.66,NA,Accepted,species,wcvp,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:397309-1
Dalea candida,Fabaceae,NA,NA,0.61,0.002216417,NA,NA,Accepted,species,wcvp,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:30189316-2
Dalea purpurea,Fabaceae,1,6,0.91,0.002309786,190.72222222222223,NA,Accepted,species,wcvp,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:490847-1
Daucus carota,Apiaceae,NA,NA,0.572666667,0.001002938,197.63,NA,Accepted,species,wcvp,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:841063-1
Desmanthus illinoensis,Fabaceae,NA,NA,0.91,0.005656445,NA,NA,Accepted,species,wcvp,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:30211162-2
Desmodium canadense,Fabaceae,NA,NA,1.14075,0.0051,166.25165886000002,forb,Accepted,species,wcvp,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:1051889-2
