plot_size,date_surveyed,date_entered,botanist,site,plot,species_original,cover,species,notes,,
1,2015-09-16,,NA,Lux Arbor,1,ACHMIL,5,ACHMIL,,,
1,2015-09-16,,NA,Lux Arbor,1,CENSTO,10,CENSTO,,,
1,2015-09-16,,NA,Lux Arbor,1,DIGISC,16,DIGISC,,,
1,2015-09-16,,NA,Lux Arbor,1,OXASTR,2,OXASTR,,,
1,2015-09-16,,NA,Lux Arbor,1,PANCAP,3,PANCAP,,,
1,2015-09-16,,NA,Lux Arbor,1,PLALAN,8,PLALAN,,,
1,2015-09-16,,NA,Lux Arbor,1,RUMACE,1,RUMACE,,,
1,2015-09-16,,NA,Lux Arbor,1,TRIREP,7,TRIREP,,,
1,2016-08-30,,NA,Lux Arbor,1,ACHMIL,15,ACHMIL,,,
1,2016-08-30,,NA,Lux Arbor,1,CENSTO,18,CENSTO,,,
1,2016-08-30,,NA,Lux Arbor,1,DIG,10,DIGSPP,,,
1,2016-08-30,,NA,Lux Arbor,1,OXASPP,1,OXASTR,,,
1,2016-08-30,,NA,Lux Arbor,1,PANCAP,2,PANCAP,,,
1,2016-08-30,,NA,Lux Arbor,1,PLALAN,18,PLALAN,,,
1,2016-08-30,,NA,Lux Arbor,1,POAPRA,0.2,POAPRA,,,
1,2016-08-30,,NA,Lux Arbor,1,POTARGE,0.5,POTARGE,,,
1,2016-08-30,,NA,Lux Arbor,1,RATPIN,0.3,RATPIN,,,
1,2016-08-30,,NA,Lux Arbor,1,TRISPP,30,TRISPP,,,
1,2017-08-18,2018-01-08,Anna M. Groves,Lux Arbor,1,ACHMIL,25,ACHMIL,,,
1,2017-08-18,2018-01-08,Anna M. Groves,Lux Arbor,1,CENSTO,1,CENSTO,,,
1,2017-08-18,2018-01-08,Anna M. Groves,Lux Arbor,1,DACGLO,3,DACGLO,,,
1,2017-08-18,2018-01-08,Anna M. Groves,Lux Arbor,1,PLALAN,7,PLALAN,,,
1,2017-08-18,2018-01-08,Anna M. Groves,Lux Arbor,1,RATPIN,1,RATPIN,,,
1,2017-08-18,2018-01-08,Anna M. Groves,Lux Arbor,1,RUMACE,1,RUMACE,,,
1,2017-08-18,2018-01-08,Anna M. Groves,Lux Arbor,1,TRIREP,40,TRIREP,,,
1,2018-07-25,2018-11-30,Eric G. Behrens,Lux Arbor,1,ACHMIL,25,ACHMIL,,,
1,2018-07-25,2018-11-30,Eric G. Behrens,Lux Arbor,1,ANDGER,0.5,ANDGER,,,
1,2018-07-25,2018-11-30,Eric G. Behrens,Lux Arbor,1,CENSTO,8,CENSTO,,,
1,2018-07-25,2018-11-30,Eric G. Behrens,Lux Arbor,1,DIGISHSAN,1.5,DIGSPP,,,
1,2018-07-25,2018-11-30,Eric G. Behrens,Lux Arbor,1,ELYREP,0.3,ELYREP,,,
1,2018-07-25,2018-11-30,Eric G. Behrens,Lux Arbor,1,HYPPER,0.5,HYPPER,,,
1,2018-07-25,2018-11-30,Eric G. Behrens,Lux Arbor,1,JUNSPP,0.5,JUNTEN,,,
1,2018-07-25,2018-11-30,Eric G. Behrens,Lux Arbor,1,PLALAN,7,PLALAN,,,
1,2018-07-25,2018-11-30,Eric G. Behrens,Lux Arbor,1,POAPRA,0.2,POAPRA,,,
1,2018-07-25,2018-11-30,Eric G. Behrens,Lux Arbor,1,RUMACL,5,RUMACL,,,
1,2018-07-25,2018-11-30,Eric G. Behrens,Lux Arbor,1,SYMPIL,2,SYMPIL,,,
1,2019-07-24,2025-06-20,Eric G. Behrens,Lux Arbor,1,ACHMIL,15,ACHMIL,,,
1,2019-07-24,2025-06-20,Eric G. Behrens,Lux Arbor,1,AGRGIG,3,AGRGIG,,,
1,2019-07-24,2025-06-20,Eric G. Behrens,Lux Arbor,1,GENSTO,10,CENSTO,,,
1,2019-07-24,2025-06-20,Eric G. Behrens,Lux Arbor,1,CONCAN,2,CONCAN,,,
1,2019-07-24,2025-06-20,Eric G. Behrens,Lux Arbor,1,DIGCOG,6,DIGCOG,,,
1,2019-07-24,2025-06-20,Eric G. Behrens,Lux Arbor,1,ELYREP,5,ELYREP,,,
1,2019-07-24,2025-06-20,Eric G. Behrens,Lux Arbor,1,FESRUB,1.5,FESRUB,,,
1,2019-07-24,2025-06-20,Eric G. Behrens,Lux Arbor,1,HYIPER,3,HYPPER,,,
1,2019-07-24,2025-06-20,Eric G. Behrens,Lux Arbor,1,JUNSPP,1,JUNTEN,,,
1,2019-07-24,2025-06-20,Eric G. Behrens,Lux Arbor,1,PLALAN,30,PLALAN,,,
1,2019-07-24,2025-06-20,Eric G. Behrens,Lux Arbor,1,POAPRA,5,POAPRA,,,
1,2019-07-24,2025-06-20,Eric G. Behrens,Lux Arbor,1,RATPIN,1,RATPIN,,,
1,2019-07-24,2025-06-20,Eric G. Behrens,Lux Arbor,1,RUMACL,4,RUMACL,,,
1,2019-07-24,2025-06-20,Eric G. Behrens,Lux Arbor,1,SYMPIL,3,SYMPIL,,,
