species,number,source,leaf_mass,total_root_mass,total_shoot_mass,total_biomass,root_shoot
AGAFOE,5,NA,0.052,0.441,0.677,1.118,0.65140325
AGAFOE,4,NA,0.076,0.54,0.866,1.406,0.623556582
AGAFOE,2,NA,0.061,0.811,0.951,1.762,0.85278654
AGAFOE,3,NA,0.05,0.442,0.628,1.07,0.703821656
AGAFOE,1,NA,0.061,0.566,0.822,1.388,0.688564477
AGANEP,1,NA,0.056,0.875,0.236,1.111,3.707627119
AGANEP,2,NA,0.039,1.106,0.352,1.458,3.142045455
AGANEP,4,NA,0.032,0.389,0.26,0.649,1.496153846
AGANEP,3,NA,0.054,1.279,0.377,1.656,3.392572944
AGANEP,5,NA,0.04,0.915,0.312,1.227,2.932692308
ALLCER,2,NA,0.005,0.034,0.03,0.064,1.133333333
ALLCER,3,NA,0.001,0.004,0.004,0.008,1
ALLCER,4,NA,0.007,0.029,0.028,0.057,1.035714286
ALLCER,5,NA,0.002,0.015,0.01,0.025,1.5
ANDGER,6,MW,0.059,0.807,0.467,1.274,1.728051392
ANDGER,5,MW,0.037,1.342,0.607,1.949,2.210873147
ANDGER,4,MW,0.066,0.915,0.442,1.357,2.070135747
ANDGER,1,MI,0.043,0.876,0.514,1.39,1.704280156
ANDGER,5,MI,0.049,0.727,0.442,1.169,1.64479638
ANDGER,6,MI,0.06,0.929,0.389,1.318,2.388174807
ANDGER,3,SO,0.03,0.332,0.215,0.547,1.544186047
ANDGER,4,SO,0.088,1.149,0.525,1.674,2.188571429
ANDGER,2,SO,0.028,0.758,0.544,1.302,1.393382353
AQUCAN,3,NA,0.027,0.221,0.163,0.384,1.355828221
AQUCAN,1,NA,0.016,0.079,0.079,0.158,1
AQUCAN,4,NA,0.048,0.432,0.189,0.621,2.285714286
AQUCAN,2,NA,0.03,0.074,0.083,0.157,0.891566265
AQUCAN,5,NA,0.027,0.128,0.118,0.246,1.084745763
ARNATR,2,NA,0.112,0.558,0.297,0.855,1.878787879
ARNATR,1,NA,0.085,0.724,0.305,1.029,2.373770492
ARNATR,3,NA,0.072,0.697,0.278,0.975,2.507194245
ARNATR,5,NA,0.083,0.856,0.366,1.222,2.338797814
ARNATR,4,NA,0.089,0.646,0.363,1.009,1.779614325
ASCTUB,4,NA,0.013,0.743,0.396,1.139,1.876262626
ASCTUB,2,NA,0.015,1.366,0.659,2.025,2.072837633
ASCTUB,1,NA,0.012,0.674,0.298,0.972,2.261744966
ASCTUB,5,NA,0.003,0.569,0.173,0.742,3.289017341
ASCTUB,3,NA,0.007,0.802,0.243,1.045,3.300411523
ASCVER,2,NA,0.005,0.835,0.362,1.197,2.306629834
ASCVER,1,NA,0.004,0.612,0.214,0.826,2.859813084
ASCVER,5,NA,0.004,0.589,0.241,0.83,2.443983402
ASCVER,4,NA,0.002,0.341,0.226,0.567,1.508849558
ASCVER,3,NA,0.003,0.432,0.25,0.682,1.728
ASTCAN,5,NA,0.022,0.163,0.16,0.323,1.01875
ASTCAN,4,NA,0.025,0.178,0.156,0.334,1.141025641
ASTCAN,3,NA,0.021,0.166,0.089,0.255,1.865168539
ASTCAN,2,NA,0.024,0.096,0.13,0.226,0.738461538
ASTCAN,1,NA,0.024,0.168,0.125,0.293,1.344
BAPLAC,2,NA,0.031,0.194,0.232,0.426,0.836206897
BOUCUR,1,MI,0.057,0.071,0.604,0.675,0.117549669
BOUCUR,6,MI,0.045,0.791,0.948,1.739,0.834388186
BOUCUR,3,MI,0.078,0.761,0.648,1.409,1.174382716
BOUCUR,4,SO,0.039,0.308,0.476,0.784,0.647058824
BOUCUR,3,SO,0.028,0.408,0.592,1,0.689189189
BOUCUR,1,SO,0.038,0.152,0.447,0.599,0.340044743
BOUCUR,6,MW,0.012,0.104,0.173,0.277,0.601156069
BOUCUR,5,MW,0.024,0.277,0.455,0.732,0.608791209
BOUCUR,1,MW,0.016,0.075,0.131,0.206,0.572519084
CARBIC,1,NA,0.01,0.399,0.217,0.616,1.838709677
CARBIC,3,NA,0.012,0.418,0.317,0.735,1.318611987
