species,seed_mass
ACAVIR,0.631111111
ACHMIL,0.219909091
ACHMIL,NA
ACHMIL,NA
ACHMIL,NA
ACHMIL,NA
ACHMIL,NA
ACHMIL,NA
ACHMIL,NA
ACHMIL,NA
ACHMIL,NA
ACHMIL,NA
ACHMIL,NA
ACHMIL,NA
ACHMIL,NA
ACHMIL,NA
ACHMIL,NA
ACHMIL,NA
ACHMIL,NA
ACHMIL,NA
ACHMIL,NA
AGAFOE,0.29
AGANEP,0.330142857
AGRPAR,7.17
AGRGIG,0.078333333
AGRHYE,0.058357143
ALLPET,2.597888889
ALLCER,3.85
ALLVIN,19
ALLVIN,NA
ALLVIN,NA
ALLVIN,NA
ALLVIN,NA
ALLVIN,NA
ALLVIN,NA
ALLVIN,NA
ALLVIN,NA
ALLVIN,NA
ALLVIN,NA
ALLVIN,NA
ALLVIN,NA
ALLVIN,NA
ALLVIN,NA
ALLVIN,NA
ALLVIN,NA
ALLVIN,NA
ALLVIN,NA
ALLVIN,NA
AMBART,3.99
AMBPSI,6.618142857
AMOCAN,1.9317
AMOCAN,1.9317
ANDGER,3.1
ANDGER,NA
ANDGER,NA
ANDGER,NA
ANDGER,NA
ANDGER,NA
ANDGER,NA
ANDGER,NA
ANDGER,NA
ANDGER,NA
ANDGER,NA
ANDGER,NA
ANDGER,NA
ANDGER,NA
ANDGER,NA
ANDGER,NA
ANDGER,NA
ANDGER,NA
ANDGER,NA
ANDGER,NA
ANECYL,1.056
ANEVIR,1.13
APOCAN,1.0688
APOCAN,NA
APOCAN,NA
APOCAN,NA
APOCAN,NA
APOCAN,NA
APOCAN,NA
APOCAN,NA
APOCAN,NA
APOCAN,NA
APOCAN,NA
APOCAN,NA
APOCAN,NA
APOCAN,NA
APOCAN,NA
APOCAN,NA
APOCAN,NA
APOCAN,NA
APOCAN,NA
APOCAN,NA
ARCMIN,9.4175
ARNATR,2.67
ARNATR,NA
ARNATR,NA
ARNATR,NA
ARNATR,NA
ARNATR,NA
ARNATR,NA
ARNATR,NA
ARNATR,NA
ARNATR,NA
ARNATR,NA
ARNATR,NA
ARNATR,NA
ARNATR,NA
ARNATR,NA
ARNATR,NA
ARNATR,NA
ARNATR,NA
ARNATR,NA
ARNATR,NA
ARTCAM,0.120833333
ASCSYR,6.216625
ASCSYR,NA
ASCSYR,NA
ASCSYR,NA
ASCSYR,NA
ASCSYR,NA
