accepted_name,seeded,n,family,sla,height,seedmass
Symphyotrichum urophyllum,1,NA,Asteraceae,NA,0.914,NA
Taraxacum officinale,NA,39,Asteraceae,NA,NA,6.83E-04
Pseudognaphalium obtusifolium,NA,32,Asteraceae,NA,NA,3.80E-05
Toxicodendron radicans,NA,29,Anacardiaceae,NA,NA,0.01686
Bromus kalmii,NA,26,Poaceae,NA,0.91,0.002497222
Morus alba,NA,24,Moraceae,NA,13,0.004701111
Hypochaeris radicata,NA,19,Asteraceae,NA,0.32,8.14E-04
Elaeagnus umbellata,NA,17,Elaeagnaceae,NA,4.6,0.0152625
Elymus virginicus,NA,5,Poaceae,NA,0.76,0.004918556
Geum canadense,NA,3,Rosaceae,NA,1.2,0.00515
Pyrus calleryana,NA,3,Rosaceae,NA,6.5,0.0129
Rubus occidentalis,NA,3,Rosaceae,NA,1.8,0.0013645
Desmodium paniculatum,NA,2,Fabaceae,NA,0.91,0.00273
Astragalus canadensis,NA,1,Fabaceae,NA,0.15,0.001749667
Scrophularia lanceolata,NA,1,Scrophulariaceae,NA,1.5,1.56E-04
Sporobolus heterolepis,NA,1,Poaceae,NA,0.7,0.0011365
