accepted_name,n
Digitaria,616
Bouteloua curtipendula,600
Centaurea stoebe,583
Schizachyrium scoparium,527
Panicum virgatum,432
Plantago lanceolata,408
Poa pratensis,405
Bromus inermis,374
Elymus repens,366
Achillea millefolium,330
Solanum carolinense,325
Ratibida pinnata,324
Erigeron,314
Oxalis stricta,309
Erigeron canadensis,292
Berteroa incana,228
Verbascum thapsus,220
Asclepias syriaca,216
Monarda fistulosa,211
Coreopsis lanceolata,209
Andropogon gerardii,201
Silene vulgaris,199
Sorghastrum nutans,198
Sporobolus cryptandrus,196
Panicum capillare,190
Rumex acetosa,190
Lespedeza capitata,181
Elymus canadensis,177
Solidago canadensis,171
Symphyotrichum pilosum,157
Lespedeza virginica,155
Silene latifolia,155
Monarda punctata,152
Rudbeckia hirta,148
Hypericum perforatum,143
Penstemon digitalis,142
Vicia,137
Elymus,135
Euthamia graminifolia,134
Drymocallis arguta,128
Juncus tenuis,127
Echinacea purpurea,124
Desmodium illinoense,123
Asclepias tuberosa,118
Stellaria media,115
Festuca rubra,113
Ambrosia artemisiifolia,111
Verbena stricta,110
Potentilla argentea,102
Mollugo verticillata,97
Chenopodium album,92
Trifolium arvense,91
Dichanthelium,89
Phytolacca heterotepala,89
Poaceae,89
Eragrostis spectabilis,87
Dalea purpurea,80
Potentilla recta,75
Solidago rigida,75
Phytolacca americana,68
Lepidium campestre,67
Rubus flagellaris,64
Rumex acetosella,64
unknown,58
Daucus carota,57
Panicum dichotomiflorum,57
Rhus,56
Setaria,56
Oenothera biennis,55
Fallopia convolvulus,54
Koeleria macrantha,50
Poa compressa,49
Melilotus,47
Agrostis gigantea,46
Trifolium repens,46
Symphyotrichum laeve,43
Taraxacum officinale,39
Hieracium,38
Allium vineale,35
Verbena urticifolia,34
Bromus tectorum,33
Pseudognaphalium obtusifolium,32
Solidago altissima,32
Trifolium,32
Symphyotrichum ericoides,31
Asparagus officinalis,30
Barbarea vulgaris,30
Helianthus occidentalis,30
Paspalum setaceum,30
Toxicodendron radicans,29
Asteraceae,27
Bromus kalmii,26
Solidago speciosa,26
Tragopogon,26
Dactylis glomerata,25
Amaranthus,24
Chamaecrista fasciculata,24
Festuca trachyphylla,24
Krigia,24
Morus alba,24
Vitis,24
Gnaphalium,22
Carex,20
Hypochaeris radicata,19
Elaeagnus umbellata,17
Trifolium pratense,17
Solanum americanum,12
Turritis glabra,12
Zizia aptera,12
Fagopyrum esculentum,11
Prunus,11
Trifolium dubium,11
Verbena,11
Acer negundo,10
Plantago major,10
Danthonia spicata,9
Morus rubra,9
Panicum,8
Phytolacca,8
Solidago,8
Brassicaceae,7
Malus,7
Medicago lupulina,7
Penstemon hirsutus,7
Phleum pratense,7
Viola,6
Cyperus lupulinus,5
Elymus virginicus,5
Medicago,5
Oenothera,5
Poa annua,5
Prunus serotina,5
Rubus allegheniensis,5
Acer,4
Acer rubrum,4
Baptisia alba,4
Brassica,4
Lactuca,4
Malva neglecta,4
Poa,4
Quercus,4
Ulmus,4
Vinca,4
Geum canadense,3
Hackelia virginiana,3
Potentilla simplex,3
Pyrus calleryana,3
Rubus occidentalis,3
Solidago nemoralis,3
Arabidopsis thaliana,2
Avena sativa,2
Berberis vulgaris,2
Brassica napus,2
Chondrilla juncea,2
Cyperaceae,2
Cyperus,2
Desmodium paniculatum,2
Echinacea pallida,2
Euphorbia maculata,2
Gamochaeta purpurea,2
Medicago sativa,2
Quercus velutina,2
Rumex crispus,2
Symphyotrichum,2
Urtica dioica,2
Alliaria petiolata,1
Apocynum cannabinum,1
Asclepias amplexicaulis,1
Astragalus canadensis,1
Betula,1
Bromus japonicus,1
Circaea canadensis,1
Cirsium,1
Desmodium canadense,1
Eragrostis cilianensis,1
Erechtites hieraciifolius,1
Eryngium yuccifolium,1
Fabaceae,1
Geranium,1
Gleditsia triacanthos,1
Gnaphalium uliginosum,1
Juncus dichotomus,1
Juncus effusus,1
Lespedeza hirta,1
Lonicera maackii,1
Lupinus perennis,1
Persicaria maculosa,1
Physalis,1
Potentilla norvegica,1
Rumex obtusifolius,1
Scrophularia lanceolata,1
Sporobolus heterolepis,1
Symphyotrichum lanceolatum,1
Tradescantia ohiensis,1
Trifolium campestre,1
Trifolium hybridum,1
